en_td,energy_eV,eedf
1.5,3.828644397123217,0.10923233930944586
1.5,3.9156534877951525,0.10536931462649206
1.5,4.003640208699356,0.10132735036272363
1.5,4.092604559835829,0.09711201435684921
1.5,4.182546541204571,0.09271958229334595
1.5,4.273466152805582,0.08816078219275636
1.5,4.365363394638862,0.08345545537962773
1.5,4.458238266704411,0.07862709365858928
1.5,4.552090769002229,0.07370271998739694
1.5,4.646920901532317,0.06871261345494607
1.5,4.742728664294672,0.06368995026588428
1.5,4.839514057289297,0.05867032552403864
1.5,4.937277080516191,0.05368146764138146
1.5,5.036017733975353,0.04875922701273926
1.5,5.135736017666784,0.04394761416107011
1.5,5.236431931590484,0.03928836552321418
1.5,5.338105475746453,0.034819309564957934
1.5,5.440756650134691,0.0305753301668561
1.5,5.544385454755199,0.026587251108412143
1.5,5.6489918896079745,0.022880889983706066
1.5,5.754575954693019,0.019476215514047615
1.5,5.861137650010333,0.01638673019468973
1.5,5.968676975559916,0.013619116966617358
1.5,6.0771939313417676,0.011171585133733456
1.5,6.186688517355888,0.009037988585889263
1.5,6.2971607336022775,0.007205558825368115
1.5,6.4086105800809365,0.005656540704375738
1.5,6.521038056791864,0.004368778770979697
1.5,6.63444316373506,0.003316800656398993
1.5,6.748825900910527,0.0024726727534645477
1.5,6.864186268318262,0.001806504992120418
1.5,6.980524265958265,0.001292066371022044
1.5,7.097839893830537,0.0009050175620342209
1.5,7.216133151935079,0.0006203989965754072
1.5,7.3354040402718885,0.00041590125072037945
1.5,7.455652558840967,0.00027245817386216804
1.5,7.576878707642315,0.00017424713036179394
1.5,7.699082486675932,0.00010867605625904494
1.5,7.822263895941818,6.603129514540314e-05
1.5,7.946422935439973,3.9075831254883585e-05
1.5,8.071559605170396,2.2511954278700475e-05
1.5,8.197673905133088,1.261642538920899e-05
1.5,8.32476583532805,6.885679616108279e-06
1.5,8.45283539575528,3.656375978477711e-06
1.5,8.58188258641478,1.8881961969088375e-06
1.5,8.711907407306548,9.477207818074007e-07
1.5,8.842909858430586,4.6197115602247375e-07
1.5,8.974889939786891,2.1928229256573642e-07
1.5,9.107847651375467,1.0128090456356979e-07
1.5,9.24178299319631,4.54904021030748e-08
1.5,9.376695965249425,1.9857708791735732e-08
1.5,9.512586567534807,8.418440579665622e-09
1.5,9.649454800052458,3.4633256786021773e-09
1.5,9.787300662802378,1.3815978266966926e-09
1.5,9.926124155784567,5.343519733484851e-10
1.5,10.065925278999025,2.0110458535388993e-10
1.5,10.206704032445751,7.360723341376266e-11
1.5,10.348460416124746,2.6227396016666903e-11
1.5,10.49119443003601,9.114437166283508e-12
1.5,10.634906074179543,3.0879567493250705e-12
1.5,10.779595348555347,1.0195976845100754e-12
1.5,10.925262253163417,3.2802486203988844e-13
1.5,11.071906788003758,1.0284451363996087e-13
1.5,11.219528953076367,3.169093676317803e-14
1.5,11.368128748381245,9.660016106567594e-15
